TIME,Dureza,Tasa_Prod,Asp,EC,EE,Calidad
01/01/1995 0:00,100,368,2.78,15.1,29.7,0.053
02/01/1995 0:00,100,426,3,26.9,0,0.108
03/01/1995 0:00,101,446,3,29.5,0,0.098
04/01/1995 0:00,99,395,3,18.9,25.4,0.056
05/01/1995 0:00,102,380,3,17.5,26.6,0.051
06/01/1995 0:00,105,393,2.95,26.1,0,0.138
07/01/1995 0:00,108,400,2.95,27.7,0,0.222
08/01/1995 0:00,107,403,2.95,29,3,0.129
09/01/1995 0:00,106,397,2.95,20.5,23.6,0.088
10/01/1995 0:00,105,391,2.95,18.2,26.3,0.062
11/01/1995 0:00,101,388,2.95,18.3,26.7,0.031
12/01/1995 0:00,100,402,2.95,18.8,27.7,0.042
13/01/1995 0:00,103,404,2.95,19.4,22.9,0.04
14/01/1995 0:00,105,391,2.94,19.7,26,0.075
15/01/1995 0:00,103,377,2.94,29.7,1.3,0.07
16/01/1995 0:00,103,395,2.94,21.4,16.7,0.053
17/01/1995 0:00,105,385,2.94,21.7,22.8,0.081
18/01/1995 0:00,105,400,3.04,26.4,5.4,0.103
19/01/1995 0:00,104,390,3.04,21.6,22.4,0.129
20/01/1995 0:00,103,406,3.04,21.4,25.2,0.089
21/01/1995 0:00,104,393,3.04,21.9,21.6,0.085
22/01/1995 0:00,103,386,3.03,24.2,16.5,0.053
23/01/1995 0:00,103,395,3.03,24.1,18.3,0.065
24/01/1995 0:00,102,397,3.03,20,27.1,0.096
25/01/1995 0:00,102,400,3.03,19.6,25.5,0.133
26/01/1995 0:00,103,390,2.83,21.3,24.9,0.089
27/01/1995 0:00,103,390,2.83,21.4,23.3,0.067
28/01/1995 0:00,102,398,2.83,19.9,25.8,0.068
29/01/1995 0:00,102,402,1.82,20.1,25.7,0.085
30/01/1995 0:00,105,339,2.32,26.4,0,0.137
31/01/1995 0:00,107,403,2.32,29,0,0.125
01/02/1995 0:00,105,373,3.05,20.6,20.8,0.103
02/02/1995 0:00,104,417,3.05,29.3,0,0.085
03/02/1995 0:00,104,412,3.05,18.5,21.6,0.058
04/02/1995 0:00,102,397,3.05,20.7,18.7,0.082
05/02/1995 0:00,102,385,2.83,20.1,25.4,0.153
06/02/1995 0:00,101,376,2.83,23,16,0.108
07/02/1995 0:00,101,392,2.83,20.7,25.4,0.077
08/02/1995 0:00,103,399,2.83,21.1,21.3,0.069
09/02/1995 0:00,103,401,2.94,22.6,12.4,0.06
10/02/1995 0:00,104,390,2.94,31.3,0,0.076
11/02/1995 0:00,104,390,2.94,23.3,24.4,0.073
12/02/1995 0:00,103,408,2.94,22.3,7.7,0.094
13/02/1995 0:00,102,421,2.95,20.7,24.8,0.109
14/02/1995 0:00,101,393,2.95,20.9,3.3,0.093
15/02/1995 0:00,104,421,2.95,23.6,0,0.116
16/02/1995 0:00,106,408,2.95,22.4,24.9,0.145
17/02/1995 0:00,104,396,2.94,20,25.8,0.112
18/02/1995 0:00,104,421,2.94,33.5,0.9,0.126
19/02/1995 0:00,104,390,2.94,21.4,24.7,0.055
20/02/1995 0:00,103,397,2.94,20.8,25.4,0.095
21/02/1995 0:00,102,402,2.9,21.2,25.5,0.073
22/02/1995 0:00,103,418,2.9,20.4,26.8,0.13
23/02/1995 0:00,103,409,2.9,20.7,18.1,0.1
24/02/1995 0:00,104,412,2.9,19.6,28.5,0.09
25/02/1995 0:00,103,409,2.95,20.3,27.3,0.065
26/02/1995 0:00,106,415,2.95,20.4,28.1,0.055
27/02/1995 0:00,104,412,2.95,21.2,23.8,0.149
28/02/1995 0:00,107,403,2.95,18.9,23.2,0.161
01/03/1995 0:00,105,405,2.93,19.4,27.6,0.09
02/03/1995 0:00,,402,2.93,26.7,15.8,0.093
03/03/1995 0:00,102,400,2.93,20.4,26.2,0.081
04/03/1995 0:00,103,391,,20.3,20.3,0.093
05/03/1995 0:00,104,397,2.89,19.4,26.6,0.073
06/03/1995 0:00,104,404,2.89,20.2,27.1,0.089
07/03/1995 0:00,105,371,2.54,18,13.9,0.085
08/03/1995 0:00,104,381,2.54,17.7,27,0.033
09/03/1995 0:00,103,298,2.54,3.7,27.2,0.202
10/03/1995 0:00,104,345,2.54,0,17.2,0.078
11/03/1995 0:00,102,399,2.83,14,21,0.062
12/03/1995 0:00,102,400,2.83,25.3,11.8,0.041
13/03/1995 0:00,104,394,2.83,22.4,21.8,0.082
14/03/1995 0:00,102,392,3.26,22,21.9,0.068
15/03/1995 0:00,104,393,3.26,23.1,22,0.066
16/03/1995 0:00,103,398,3.26,30,0,0.06
17/03/1995 0:00,103,401,3.26,20.8,23.8,0.059
18/03/1995 0:00,103,388,3.16,22.4,23.1,0.044
19/03/1995 0:00,105,377,3.16,17.2,26.4,0.059
20/03/1995 0:00,104,371,3.16,19.9,22,0.033
21/03/1995 0:00,104,400,3.15,23.2,21.1,0.067
22/03/1995 0:00,106,388,3.15,18.4,26.9,0.058
23/03/1995 0:00,105,368,3.15,18.7,25.2,0.058
24/03/1995 0:00,106,377,3.15,18.5,18.7,0.099
25/03/1995 0:00,105,401,3.15,22.7,7.5,0.1
26/03/1995 0:00,105,403,3.15,22.7,16.1,0.072
27/03/1995 0:00,107,375,3.15,20.9,8,0.035
28/03/1995 0:00,106,373,3.15,16.1,26.1,0.035
29/03/1995 0:00,104,378,3.35,16,26.3,0.029
30/03/1995 0:00,101,382,3.35,17.7,26.4,0.018
31/03/1995 0:00,99,397,3.35,21.1,22.9,0.047
01/04/1995 0:00,100,374,3.35,22.9,4.9,0.045
02/04/1995 0:00,99,379,3.52,20,21.6,0.043
03/04/1995 0:00,101,379,3.52,17,26.4,0.087
04/04/1995 0:00,102,379,3.52,22.7,20.6,0.098
05/04/1995 0:00,102,379,3.52,21.2,20.5,0.051
06/04/1995 0:00,102,405,3.52,30.6,0,0.053
07/04/1995 0:00,103,431,3.52,23.3,15.1,0.053
08/04/1995 0:00,104,354,3.52,21.1,14.1,0.038
09/04/1995 0:00,102,346,3.52,19.8,12.8,0.028
10/04/1995 0:00,103,352,3.52,18.2,20.5,0.033
11/04/1995 0:00,104,351,3.52,19.7,0,0.061
12/04/1995 0:00,105,352,3.52,22.9,6.1,0.067
13/04/1995 0:00,103,350,3.52,19.5,20.2,0.043
14/04/1995 0:00,102,248,1.22,7,0,0.076
15/04/1995 0:00,104,347,1.22,29.7,0,0.067
16/04/1995 0:00,102,416,3.34,32.6,6.2,0.083
17/04/1995 0:00,102,410,3.34,22.8,17.9,0.071
18/04/1995 0:00,103,403,3.34,21.7,25,0.093
19/04/1995 0:00,103,390,3.35,24.5,11.1,0.066
20/04/1995 0:00,103,399,3.35,21.2,25.6,0.051
21/04/1995 0:00,101,415,3.35,19.9,25,0.055
22/04/1995 0:00,101,408,3.35,23.4,14.2,0.201
23/04/1995 0:00,105,417,3.06,23.8,19.2,0.07
24/04/1995 0:00,104,393,3.06,20.8,25,0.058
25/04/1995 0:00,101,415,3.06,21.9,23.1,0.063
26/04/1995 0:00,103,416,3.06,21.5,24.7,0.051
27/04/1995 0:00,101,411,3.34,21.1,13.3,0.07
28/04/1995 0:00,103,407,3.34,23.3,18.9,0.041
29/04/1995 0:00,104,397,3.34,20.6,24.9,0.033
30/04/1995 0:00,106,408,3.34,27.6,0.1,0.04
01/05/1995 0:00,104,396,3.3,19.5,23.4,0.075
02/05/1995 0:00,106,397,3.3,19.2,22.4,0.085
03/05/1995 0:00,102,417,3.3,20,23.6,0.043
04/05/1995 0:00,104,411,3.3,23.1,16.5,0.051
05/05/1995 0:00,106,403,3.31,28,3.1,0.094
06/05/1995 0:00,104,418,3.31,27.8,2.4,0.052
07/05/1995 0:00,103,406,3.31,22.3,20.8,0.059
08/05/1995 0:00,107,412,3.31,19.4,26.6,0.028
09/05/1995 0:00,105,411,3.34,19.4,25.9,0.068
10/05/1995 0:00,106,405,3.34,19.5,24,0.048
11/05/1995 0:00,102,412,3.34,19.8,21.1,0.046
12/05/1995 0:00,103,396,3.34,24,12.4,0.046
13/05/1995 0:00,105,411,3.34,19.2,24.6,0.075
14/05/1995 0:00,105,405,3.34,22.9,18.4,0.092
15/05/1995 0:00,102,410,3.34,28.7,0,0.07
16/05/1995 0:00,105,409,3.34,33.2,0,0.887
17/05/1995 0:00,106,383,2.94,33,0,0.29
18/05/1995 0:00,106,407,2.94,33.4,3.5,0.193
19/05/1995 0:00,106,373,2.94,32.8,5.3,0.198
20/05/1995 0:00,107,346,2.94,22.4,12.1,0.145
21/05/1995 0:00,104,354,2.03,31.4,0,0.128
22/05/1995 0:00,107,301,2.03,21.4,11.1,0.134
23/05/1995 0:00,107,298,2.03,20.8,27.1,0.134
24/05/1995 0:00,106,310,2.33,20.1,22.1,0.564
25/05/1995 0:00,106,324,2.33,29.6,0.1,0.251
26/05/1995 0:00,106,318,2.33,30,0.1,0.133
27/05/1995 0:00,105,318,2.33,29.2,0,0.1
28/05/1995 0:00,105,294,2.24,29.5,0,0.138
29/05/1995 0:00,104,287,2.24,26.1,3,0.159
30/05/1995 0:00,104,311,2.24,21.4,25.1,0.208
31/05/1995 0:00,103,291,2.24,20.4,25,0.097
01/06/1995 0:00,103,312,2.14,21.2,21.1,0.068
02/06/1995 0:00,102,292,2.14,20.6,24.3,0.07
03/06/1995 0:00,102,301,2.14,21.5,23.1,0.059
04/06/1995 0:00,104,327,2.14,24.2,23.2,0.087
05/06/1995 0:00,104,326,2.12,33.2,0,0.174
06/06/1995 0:00,104,290,2.12,24.7,0,0.028
07/06/1995 0:00,104,315,2.12,20.3,14.7,0.04
08/06/1995 0:00,105,324,2.12,24.1,8.9,0.032
09/06/1995 0:00,106,344,2.65,21.9,15.7,0.081
10/06/1995 0:00,106,349,2.65,17.1,25,0.074
11/06/1995 0:00,106,364,2.65,18.7,21.4,0.067
12/06/1995 0:00,104,370,2.65,24.6,7.2,0.057
13/06/1995 0:00,104,387,2.99,24.1,9,0.09
14/06/1995 0:00,103,391,2.99,25.1,8.6,0.104
15/06/1995 0:00,105,394,2.99,28.5,6.7,0.104
16/06/1995 0:00,106,396,2.99,23.3,19.8,0.075
17/06/1995 0:00,106,385,3.35,20,20.7,0.073
18/06/1995 0:00,103,385,3.35,21.8,21.1,0.078
19/06/1995 0:00,104,388,3.35,25.9,0.1,0.056
20/06/1995 0:00,104,394,3.35,21,20.5,0.074
21/06/1995 0:00,104,395,3.35,21.6,21.6,0.11
22/06/1995 0:00,106,380,3.35,23.6,18.2,0.063
23/06/1995 0:00,104,392,3.35,21.9,14.6,0.058
24/06/1995 0:00,105,391,3.35,17.2,19.5,0.038
25/06/1995 0:00,103,412,3.27,18.9,20.9,0.031
26/06/1995 0:00,101,394,3.27,19.5,19.5,0.036
27/06/1995 0:00,102,407,3.27,20.8,18.5,0.035
28/06/1995 0:00,102,411,3.27,22.8,18.6,0.036
29/06/1995 0:00,104,407,3.25,20.3,10.2,0.05
30/06/1995 0:00,106,412,3.25,27.7,4.7,0.063
01/07/1995 0:00,104,420,3.25,20.9,19.2,0.084
02/07/1995 0:00,102,395,3.25,30,19.6,0.063
03/07/1995 0:00,104,398,3.32,21.2,20.7,0.049
04/07/1995 0:00,103,409,3.32,22.1,20.7,0.071
05/07/1995 0:00,103,422,3.32,22.4,21.3,0.098
06/07/1995 0:00,102,398,3.32,21.5,22,0.105
07/07/1995 0:00,103,383,3.15,26.3,6.2,0.068
08/07/1995 0:00,105,390,3.15,25.6,12.9,0.106
09/07/1995 0:00,106,390,3.15,25.6,13.9,0.091
10/07/1995 0:00,106,343,3.15,24.9,0.6,0.111
11/07/1995 0:00,106,360,2.64,26.1,10.6,0.134
12/07/1995 0:00,101,369,2.64,27.7,5.7,0.092
13/07/1995 0:00,102,369,2.64,30.2,0,0.062
